Index,Brand,Model,Motor,Year,Mileage,Gear,Fuel,Price
153,PEUGEOT,208 phase 2,1.2 PURETECH 82 ALLURE,2020,101282,Manuelle,Essence,14980
154,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2021,16035,Automatique,Essence,32750
155,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE BUSINESS,2021,27549,Automatique,Essence,20860
156,PEUGEOT,2008 II,1.2 PURETECH 130 GT LINE,2021,51396,Automatique,Essence,27880
157,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE PACK,2023,16723,Manuelle,Essence,19050
158,PEUGEOT,2008 phase 2,1.2 PURETECH 130 GT LINE,2020,34884,Manuelle,Essence,20310
159,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,21385,Manuelle,Essence,16480
160,PEUGEOT,5008 II,1.2 PURETECH 130 GT LINE,2021,30624,Automatique,Essence,36640
161,PEUGEOT,3008 II,1.6 PURETECH 180 GT LINE,2020,45553,Automatique,Essence,34180
162,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,21970,Manuelle,Essence,19230
163,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE PACK,2023,22752,Manuelle,Essence,17700
164,PEUGEOT,208 phase 2,1.2 PURETECH 68 LIKE,2020,31101,Manuelle,Essence,12750
165,PEUGEOT,308 III,1.2 PURETECH 130 ALLURE PACK,2023,13702,Manuelle,Essence,32380
166,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2023,16662,Automatique,Essence,24280
167,PEUGEOT,308 II phase 2,1.2 PURETECH 110 ALLURE PACK,2022,48336,Manuelle,Essence,20650
168,PEUGEOT,208 phase 2,1.2 PURETECH 82 SIGNATURE,2020,73780,Manuelle,Essence,18090
169,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE PACK,2022,21861,Manuelle,Essence,20310
170,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,16770,Manuelle,Essence,18350
